0.0,11,0	Moderator	Moderator/EthanBody	Moderator/EthanGlasses	Moderator/EthanSkeleton	Moderator/EthanSkeleton/EthanHips	Moderator/EthanSkeleton/EthanHips/EthanSpine	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg/EthanLeftLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg/EthanLeftLeg/EthanLeftFoot	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg/EthanLeftLeg/EthanLeftFoot/EthanLeftToe1	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg/EthanRightLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg/EthanRightLeg/EthanRightFoot	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg/EthanRightLeg/EthanRightFoot/EthanRightToe1	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanHead	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder/EthanLeftArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder/EthanLeftArm/EthanLeftForeArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder/EthanLeftArm/EthanLeftForeArm/EthanLeftHand	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder/EthanRightArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder/EthanRightArm/EthanRightForeArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder/EthanRightArm/EthanRightForeArm/EthanRightHand
8.7452,11,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3318,0.7823,0.0788,359.6911,13.2409,269.3995,1,1,1	-0.3313,0.8273,0.0785,359.6912,13.2411,274.354,1,1,1	-0.3488,0.7819,0.0065,8.0952,195.1817,89.2614,1,1,1	-0.3874,0.4224,0.0312,7.1207,190.2538,105.1792,1,1,1	-0.2949,0.1009,0.0233,0.6054,173.221,89.6654,1,1,1	-0.4038,0.0148,0.0112,359.6259,173.2744,354.1001,1,1,1	-0.3147,0.7827,0.1512,0.6986,193.9743,90.0528,1,1,1	-0.352,0.4275,0.2009,2.0911,202.4725,107.9991,1,1,1	-0.2647,0.1043,0.2114,0.6827,226.1266,89.8378,1,1,1	-0.3401,0.0184,0.2913,2.2349,226.0022,350.9941,1,1,1	-0.3173,0.9755,0.0744,358.3938,14.0107,282.5443,1,1,1	-0.3238,1.1042,0.0723,357.9792,14.7976,282.0613,1,1,1	-0.3296,1.2329,0.0691,357.9792,14.7975,267.0613,1,1,1	-0.3657,1.3255,0.0752,359.4689,16.0378,268.4685,1,1,1	-0.3363,1.232,0.044,290.9174,333.5504,131.5124,1,1,1	-0.3529,1.1617,-0.0602,289.6072,239.2525,246.5803,1,1,1	-0.323,0.9204,-0.0981,296.438,263.3392,234.9752,1,1,1	-0.329,0.7594,-0.1105,15.4396,301.9841,187.5036,1,1,1	-0.323,1.2338,0.0943,67.7257,53.4181,128.4183,1,1,1	-0.285,1.1668,0.1949,68.4263,139.5932,226.5487,1,1,1	-0.2091,0.9335,0.2148,62.5538,127.5771,224.6512,1,1,1	-0.1949,0.774,0.236,339.0397,96.519,185.1338,1,1,1
8.7992,11,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3313,0.7826,0.0789,359.6165,12.9352,269.5381,1,1,1	-0.3309,0.8276,0.0785,359.6166,12.9354,274.4926,1,1,1	-0.348,0.7821,0.0064,8.068,194.902,89.4074,1,1,1	-0.3876,0.4228,0.031,7.1185,190.13,105.1855,1,1,1	-0.2951,0.1013,0.0232,0.5606,173.2365,89.6455,1,1,1	-0.404,0.0151,0.0112,359.5762,173.2907,354.0518,1,1,1	-0.3147,0.7831,0.1513,0.7695,193.9937,89.9674,1,1,1	-0.3513,0.4278,0.2014,2.0878,202.6461,108.0486,1,1,1	-0.2642,0.1045,0.2117,0.5298,226.1479,89.8841,1,1,1	-0.3398,0.0187,0.2915,2.092,226.0231,350.9838,1,1,1	-0.3173,0.9758,0.0743,358.4157,13.5932,282.7625,1,1,1	-0.3243,1.1045,0.0724,357.8218,14.2109,282.2357,1,1,1	-0.3305,1.2332,0.0689,357.8218,14.2109,267.2356,1,1,1	-0.367,1.3257,0.0745,359.5938,16.6206,268.1754,1,1,1	-0.337,1.2322,0.0437,290.9273,332.328,132.179,1,1,1	-0.3522,1.1616,-0.0605,289.7719,239.0159,246.3971,1,1,1	-0.3213,0.9204,-0.0981,296.6613,262.9074,234.9688,1,1,1	-0.3266,0.7593,-0.1104,15.6216,301.3982,187.7512,1,1,1	-0.3242,1.2342,0.0941,67.5109,52.9975,128.5728,1,1,1	-0.2869,1.1674,0.1952,68.3257,138.4527,225.9613,1,1,1	-0.2103,0.9345,0.2162,62.3615,126.662,224.13,1,1,1	-0.1955,0.775,0.2377,338.6454,96.3132,184.9658,1,1,1
8.8767,11,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3308,0.783,0.0801,359.5467,12.4644,269.6311,1,1,1	-0.3305,0.828,0.0797,359.5468,12.4646,274.5856,1,1,1	-0.3469,0.7824,0.0075,7.8796,194.3888,89.56,1,1,1	-0.388,0.4232,0.0308,6.9882,189.8803,105.1831,1,1,1	-0.2956,0.1018,0.0227,0.484,173.225,89.6472,1,1,1	-0.4044,0.0156,0.0105,359.4944,173.2797,354.0244,1,1,1	-0.3148,0.7836,0.1527,0.682,193.8788,89.8769,1,1,1	-0.3511,0.4281,0.202,1.9383,202.7951,108.0165,1,1,1	-0.2641,0.1047,0.2113,0.3382,226.1438,89.9201,1,1,1	-0.3399,0.0191,0.2909,1.9088,226.0187,350.9724,1,1,1	-0.3172,0.9762,0.0755,358.5451,12.9579,282.9966,1,1,1	-0.3246,1.1049,0.0739,357.7821,13.369,282.4092,1,1,1	-0.3311,1.2336,0.0703,357.7821,13.369,267.4092,1,1,1	-0.3679,1.3259,0.0754,359.678,17.5187,267.9136,1,1,1	-0.3372,1.2326,0.045,291.0191,331.0939,132.6045,1,1,1	-0.3506,1.162,-0.0594,289.8126,238.868,245.8101,1,1,1	-0.3187,0.9209,-0.0973,296.8428,262.6129,234.4977,1,1,1	-0.3233,0.7599,-0.1102,16.0302,300.525,187.7993,1,1,1	-0.3252,1.2346,0.0956,67.4492,52.5185,128.9791,1,1,1	-0.2893,1.1678,0.1971,68.2247,137.6338,225.4804,1,1,1	-0.2119,0.9351,0.2188,62.3326,125.9776,223.6714,1,1,1	-0.1968,0.7757,0.2408,338.1248,95.8197,184.7549,1,1,1
8.9336,11,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3306,0.7833,0.0819,359.5856,11.966,269.6381,1,1,1	-0.3303,0.8283,0.0815,359.5856,11.9662,274.5926,1,1,1	-0.346,0.7828,0.0092,7.6441,193.9323,89.6104,1,1,1	-0.388,0.4236,0.0308,6.79,189.7135,105.2113,1,1,1	-0.2959,0.1022,0.022,0.4501,173.2082,89.6526,1,1,1	-0.4047,0.016,0.0097,359.4574,173.2631,354.0114,1,1,1	-0.3152,0.7839,0.1547,0.4899,193.5597,89.7821,1,1,1	-0.3515,0.4282,0.2025,1.766,202.7578,107.8616,1,1,1	-0.2641,0.1049,0.2105,0.2316,226.142,89.9443,1,1,1	-0.34,0.0193,0.2901,1.8078,226.0167,350.9653,1,1,1	-0.3169,0.9766,0.0776,358.5562,12.4612,283.0742,1,1,1	-0.3245,1.1052,0.0759,357.8197,12.8817,282.4777,1,1,1	-0.3311,1.2339,0.0724,357.8197,12.8817,267.4777,1,1,1	-0.3681,1.3262,0.0773,359.663,18.2946,267.8039,1,1,1	-0.337,1.2329,0.0471,291.0945,330.5426,132.6743,1,1,1	-0.3495,1.1624,-0.0575,289.7607,238.6268,245.3899,1,1,1	-0.317,0.9214,-0.0956,296.8897,262.4539,233.9695,1,1,1	-0.3212,0.7605,-0.1092,16.1026,300.0138,187.6142,1,1,1	-0.3254,1.2349,0.0978,67.4961,52.2474,129.2464,1,1,1	-0.2903,1.1679,0.1995,68.0648,137.1754,225.4196,1,1,1	-0.2127,0.9354,0.2213,62.3111,125.7261,223.9127,1,1,1	-0.1978,0.7759,0.2431,338.0313,95.2365,184.7794,1,1,1
9.0084,11,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3306,0.7838,0.086,359.6517,11.14,269.6012,1,1,1	-0.3302,0.8288,0.0856,359.6518,11.1402,274.5557,1,1,1	-0.345,0.7834,0.013,7.1727,193.2134,89.611,1,1,1	-0.3879,0.4242,0.0312,6.3641,189.5183,105.2508,1,1,1	-0.2964,0.1026,0.0204,0.4391,173.1832,89.6703,1,1,1	-0.4052,0.0164,0.008,359.4413,173.2384,354.0007,1,1,1	-0.3162,0.7843,0.1589,0.0517,192.8536,89.5722,1,1,1	-0.3525,0.4283,0.2033,1.4345,202.5527,107.5136,1,1,1	-0.264,0.1052,0.2092,0.1176,226.1474,89.9959,1,1,1	-0.3401,0.0197,0.2887,1.7059,226.0216,350.9482,1,1,1	-0.3167,0.9771,0.082,358.5954,11.7478,283.0477,1,1,1	-0.3241,1.1057,0.0804,357.9201,12.2854,282.4653,1,1,1	-0.3307,1.2344,0.077,357.9201,12.2854,267.4653,1,1,1	-0.3676,1.3268,0.0816,359.6674,19.3923,267.6328,1,1,1	-0.3363,1.2335,0.0516,291.1726,330.0898,132.4885,1,1,1	-0.3476,1.1632,-0.0532,289.6902,238.3799,245.0388,1,1,1	-0.3148,0.9223,-0.0916,296.9854,262.4355,233.3896,1,1,1	-0.3185,0.7614,-0.1059,16.7417,299.3444,187.3053,1,1,1	-0.3252,1.2354,0.1024,67.6599,51.8501,129.4948,1,1,1	-0.2914,1.168,0.2043,67.8756,136.8309,225.4717,1,1,1	-0.2134,0.9356,0.2261,62.4465,125.8995,224.4885,1,1,1	-0.1994,0.7761,0.2476,338.0097,94.9096,184.6183,1,1,1
9.0602,11,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3307,0.7842,0.0898,359.6545,10.6022,269.5507,1,1,1	-0.3303,0.8292,0.0895,359.6546,10.6024,274.5052,1,1,1	-0.3444,0.7838,0.0167,6.7735,192.794,89.5748,1,1,1	-0.3878,0.4245,0.0321,5.9702,189.4877,105.2601,1,1,1	-0.2967,0.1028,0.0192,0.4342,173.1706,89.671,1,1,1	-0.4055,0.0167,0.0068,359.4332,173.2261,353.983,1,1,1	-0.317,0.7847,0.1629,359.6492,192.3883,89.3864,1,1,1	-0.353,0.4283,0.2043,1.1074,202.4571,107.2402,1,1,1	-0.2639,0.1055,0.208,0.0539,226.1543,90.0218,1,1,1	-0.3401,0.02,0.2875,1.656,226.027,350.8954,1,1,1	-0.3166,0.9774,0.086,358.7276,11.2855,282.9666,1,1,1	-0.3238,1.1061,0.0845,358.0547,11.8874,282.4304,1,1,1	-0.3302,1.2349,0.0814,358.0547,11.8874,267.4304,1,1,1	-0.367,1.3272,0.0859,359.7375,20.0523,267.5567,1,1,1	-0.3356,1.2339,0.0559,291.2585,329.944,132.1908,1,1,1	-0.3462,1.1639,-0.0491,289.6161,238.2478,244.8458,1,1,1	-0.3133,0.9231,-0.0877,296.9956,262.2452,233.0854,1,1,1	-0.3168,0.7622,-0.1025,16.967,298.5555,187.0854,1,1,1	-0.3249,1.2357,0.1068,67.838,51.6453,129.7248,1,1,1	-0.2919,1.168,0.2088,67.6879,136.6777,225.6535,1,1,1	-0.2137,0.9356,0.2302,62.4838,126.0823,225.0806,1,1,1	-0.2004,0.7759,0.2512,337.9404,94.5803,184.5386,1,1,1
9.1162,11,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3309,0.7847,0.0947,359.6364,10.0959,269.4775,1,1,1	-0.3304,0.8296,0.0943,359.6365,10.0961,274.4319,1,1,1	-0.3439,0.7842,0.0215,6.3466,192.6202,89.5328,1,1,1	-0.3876,0.4248,0.0341,5.4686,189.7208,105.2959,1,1,1	-0.2973,0.1031,0.018,0.4212,173.1651,89.6505,1,1,1	-0.4061,0.0169,0.0056,359.4171,173.2213,353.9452,1,1,1	-0.3178,0.7851,0.1679,359.1666,192.0464,89.1983,1,1,1	-0.3535,0.4283,0.2059,0.6616,202.5054,106.9644,1,1,1	-0.2639,0.1056,0.2066,-0.0038,226.1647,90.029,1,1,1	-0.3402,0.0202,0.286,1.6192,226.0343,350.7824,1,1,1	-0.3165,0.9779,0.0909,358.9444,10.8564,282.8483,1,1,1	-0.3233,1.1066,0.0897,358.2232,11.5023,282.3666,1,1,1	-0.3295,1.2353,0.0869,358.2232,11.5023,267.3665,1,1,1	-0.3662,1.3277,0.0915,359.859,20.6141,267.5492,1,1,1	-0.3347,1.2345,0.0614,291.3488,329.9307,131.7693,1,1,1	-0.3447,1.1647,-0.0439,289.4409,237.729,244.7603,1,1,1	-0.3119,0.9239,-0.0826,296.8388,261.9402,232.7784,1,1,1	-0.3157,0.7631,-0.0979,17.0584,298.0757,186.6628,1,1,1	-0.3243,1.2361,0.1124,68.0766,51.3909,129.9296,1,1,1	-0.2923,1.1679,0.2143,67.5217,136.6259,225.8976,1,1,1	-0.214,0.9355,0.2354,62.5737,126.3979,225.7148,1,1,1	-0.2015,0.7757,0.256,337.906,94.306,184.5883,1,1,1
9.1913,11,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.3201,0,0.1061,0,280.128,0,1,1,1	-0.331,0.7852,0.103,359.594,9.4139,269.3307,1,1,1	-0.3304,0.8302,0.1026,359.5941,9.4141,274.2852,1,1,1	-0.3432,0.7847,0.0297,5.6096,192.2922,89.3785,1,1,1	-0.387,0.4251,0.0373,4.6588,190.0066,105.3706,1,1,1	-0.2979,0.1033,0.0164,0.426,173.1615,89.6009,1,1,1	-0.4067,0.017,0.004,359.4185,173.2189,353.8757,1,1,1	-0.3188,0.7858,0.1764,358.3667,191.4658,88.9697,1,1,1	-0.3545,0.4285,0.2088,359.9499,202.5029,106.5899,1,1,1	-0.2645,0.1059,0.2051,359.9448,226.1853,90.0492,1,1,1	-0.3408,0.0205,0.2845,1.6112,226.0483,350.5531,1,1,1	-0.3161,0.9784,0.0992,359.1797,10.2447,282.6459,1,1,1	-0.3224,1.1072,0.0984,358.5335,10.9901,282.2251,1,1,1	-0.3281,1.2359,0.0962,358.5335,10.9901,267.2251,1,1,1	-0.3645,1.3284,0.1008,-0.0024,19.2982,267.9273,1,1,1	-0.3331,1.2352,0.0706,291.4793,330.2475,130.8993,1,1,1	-0.3424,1.166,-0.0351,289.1756,237.2191,244.6586,1,1,1	-0.3101,0.9252,-0.0742,296.5258,261.3876,232.6194,1,1,1	-0.3145,0.7644,-0.0898,17.0696,297.1891,185.964,1,1,1	-0.3232,1.2366,0.1217,68.4856,51.1354,130.2626,1,1,1	-0.2924,1.1676,0.2235,67.2941,136.7752,226.4196,1,1,1	-0.2142,0.9351,0.2438,62.7191,127.0459,226.7689,1,1,1	-0.2029,0.7752,0.2636,337.8505,93.8993,184.962,1,1,1
9.2467,11,1	-0.3201,0,0.1061,0,279.915,0,1,1,1	-0.3201,0,0.1061,0,279.915,0,1,1,1	-0.3201,0,0.1061,0,279.915,0,1,1,1	-0.3201,0,0.1061,0,279.915,0,1,1,1	-0.3309,0.785,0.1093,359.6099,8.7904,269.1316,1,1,1	-0.3302,0.83,0.1089,359.61,8.7906,274.0861,1,1,1	-0.3423,0.7845,0.0358,4.8789,191.3669,89.5191,1,1,1	-0.388,0.4253,0.0384,3.8991,189.0058,105.0525,1,1,1	-0.2975,0.1042,0.0145,0.3097,171.9231,89.2623,1,1,1	-0.4055,0.0173,-0.0003,359.4087,171.975,354.1421,1,1,1	-0.3196,0.7855,0.1828,357.3308,190.6634,88.8969,1,1,1	-0.3565,0.4279,0.2083,358.9525,201.7276,106.0692,1,1,1	-0.2658,0.1057,0.1995,359.8621,224.9613,90.0546,1,1,1	-0.3438,0.0203,0.2771,1.3813,224.8478,351.4049,1,1,1	-0.3153,0.9781,0.1055,359.6356,9.6313,282.4277,1,1,1	-0.3209,1.1069,0.1057,359.152,10.3856,282.102,1,1,1	-0.3261,1.2357,0.1047,359.152,10.3856,267.102,1,1,1	-0.3622,1.3283,0.1099,0.0485,15.9487,268.7274,1,1,1	-0.3308,1.2353,0.0791,291.7448,330.8122,129.7104,1,1,1	-0.3395,1.1669,-0.0273,288.9031,237.7829,242.9583,1,1,1	-0.3061,0.9266,-0.0684,295.9595,260.3185,232.4744,1,1,1	-0.3118,0.7659,-0.0845,17.0635,295.9611,185.5762,1,1,1	-0.3214,1.2361,0.1303,68.8267,50.8259,130.615,1,1,1	-0.2921,1.1665,0.232,67.3971,137.6301,228.6527,1,1,1	-0.2171,0.9329,0.2519,62.7704,127.1991,228.5149,1,1,1	-0.2078,0.7726,0.2702,338.1216,92.4351,185.7591,1,1,1
9.3213,11,1	-0.3201,0,0.1061,0,279.329,0,1,1,1	-0.3201,0,0.1061,0,279.329,0,1,1,1	-0.3201,0,0.1061,0,279.329,0,1,1,1	-0.3201,0,0.1061,0,279.329,0,1,1,1	-0.3289,0.7833,0.1137,359.545,8.0213,268.8788,1,1,1	-0.3279,0.8283,0.1132,359.545,8.0215,273.8333,1,1,1	-0.3393,0.7827,0.0401,4.0073,189.1621,91.3377,1,1,1	-0.397,0.4262,0.0372,3.3311,186.4936,103.554,1,1,1	-0.2979,0.1087,0.0132,359.8549,170.3668,87.7038,1,1,1	-0.4029,0.0188,-0.0049,359.1934,170.4151,353.9414,1,1,1	-0.3185,0.7839,0.1873,355.9619,189.7699,89.0791,1,1,1	-0.3583,0.4263,0.204,357.5453,200.6291,105.3109,1,1,1	-0.2663,0.105,0.1881,359.7042,222.7635,90.0375,1,1,1	-0.3475,0.0195,0.2625,0.9021,222.6931,353.2271,1,1,1	-0.3124,0.9764,0.1098,0.4624,8.613,282.359,1,1,1	-0.3176,1.1051,0.1117,-0.0022,9.1122,282.0692,1,1,1	-0.3223,1.234,0.1124,-0.0022,9.1122,267.0692,1,1,1	-0.3583,1.3266,0.1182,-0.0024,14.5675,269.6327,1,1,1	-0.3265,1.2339,0.0867,292.2666,331.5211,127.9327,1,1,1	-0.3338,1.1671,-0.0207,288.5955,238.641,239.6106,1,1,1	-0.2975,0.9277,-0.0649,294.813,258.0625,232.6448,1,1,1	-0.3057,0.7672,-0.0817,17.0762,294.8172,185.5753,1,1,1	-0.3183,1.2339,0.1381,68.9768,49.3302,130.608,1,1,1	-0.2917,1.1641,0.2405,67.7895,138.2657,232.1827,1,1,1	-0.2229,0.9287,0.2611,62.9025,126.04,230.7992,1,1,1	-0.2165,0.7681,0.2778,338.6323,89.0269,186.9424,1,1,1
9.3767,11,1	-0.3203,0,0.1061,0,278.9391,0,1,1,1	-0.3203,0,0.1061,0,278.9391,0,1,1,1	-0.3203,0,0.1061,0,278.9391,0,1,1,1	-0.3203,0,0.1061,0,278.9391,0,1,1,1	-0.327,0.7821,0.1167,359.4182,7.6347,268.822,1,1,1	-0.326,0.8271,0.1161,359.4183,7.6349,273.7765,1,1,1	-0.3369,0.7814,0.043,3.4927,187.8083,92.8789,1,1,1	-0.4043,0.4271,0.0368,3.2333,185.3572,103.1641,1,1,1	-0.3028,0.1106,0.0139,359.8748,170.3585,87.046,1,1,1	-0.4067,0.0196,-0.0039,359.3389,170.4005,353.9967,1,1,1	-0.3171,0.7829,0.1904,355.2507,189.5543,88.9989,1,1,1	-0.3572,0.4252,0.2025,356.8023,200.5336,104.82,1,1,1	-0.2641,0.1046,0.1819,359.5842,222.0646,90.0266,1,1,1	-0.3462,0.0191,0.2552,0.6688,222.0067,353.8633,1,1,1	-0.3103,0.9751,0.1125,0.891,7.9733,282.4524,1,1,1	-0.3156,1.1039,0.1152,0.3105,8.2797,282.1639,1,1,1	-0.3205,1.2327,0.1166,0.3106,8.2797,267.1639,1,1,1	-0.3566,1.3253,0.1224,0.0304,13.7995,270.1569,1,1,1	-0.3243,1.2328,0.0909,292.6882,331.6512,127.1186,1,1,1	-0.3305,1.1669,-0.0172,288.6559,239.2828,237.6079,1,1,1	-0.2916,0.9282,-0.0627,294.2974,256.6097,233.0787,1,1,1	-0.301,0.7678,-0.0795,17.0301,294.1675,185.3774,1,1,1	-0.3168,1.2325,0.1424,68.8814,48.0892,130.4097,1,1,1	-0.2921,1.1629,0.2454,68.0773,138.1037,233.5009,1,1,1	-0.2261,0.9268,0.2672,63.278,125.1641,231.8894,1,1,1	-0.2219,0.7661,0.2835,339.1135,86.8454,186.9976,1,1,1
9.4283,11,1	-0.3212,0,0.1062,0,278.5598,0,1,1,1	-0.3212,0,0.1062,0,278.5598,0,1,1,1	-0.3212,0,0.1062,0,278.5598,0,1,1,1	-0.3212,0,0.1062,0,278.5598,0,1,1,1	-0.3257,0.7808,0.1196,359.2375,7.4301,268.8368,1,1,1	-0.3248,0.8257,0.1188,359.2375,7.4304,273.7913,1,1,1	-0.3354,0.7798,0.0458,3.0822,186.7965,94.4645,1,1,1	-0.4126,0.4278,0.037,3.151,184.2777,103.7177,1,1,1	-0.3138,0.1105,0.0159,0.1523,169.8655,87.458,1,1,1	-0.4183,0.0202,-0.0025,359.7299,169.8931,355.0566,1,1,1	-0.3161,0.7818,0.1933,354.6286,189.5197,88.6535,1,1,1	-0.3548,0.4238,0.2011,356.2014,200.6609,104.2052,1,1,1	-0.2597,0.1042,0.1761,359.4552,221.7167,90.0071,1,1,1	-0.3424,0.0187,0.2487,0.4789,221.6649,354.1916,1,1,1	-0.3092,0.9738,0.1148,1.3238,7.4003,282.5562,1,1,1	-0.3146,1.1025,0.1185,0.5314,7.4477,282.3232,1,1,1	-0.3198,1.2313,0.1204,0.5314,7.4476,267.3232,1,1,1	-0.3562,1.3238,0.126,0.0177,13.0659,270.5719,1,1,1	-0.3232,1.2315,0.0946,293.2102,331.5851,126.461,1,1,1	-0.3282,1.1667,-0.0142,288.8425,240.0334,235.3246,1,1,1	-0.2859,0.9288,-0.061,293.9904,255.6733,232.9975,1,1,1	-0.2958,0.7685,-0.0782,17.2078,293.8666,185.1482,1,1,1	-0.3165,1.231,0.1462,68.7178,46.8371,130.2305,1,1,1	-0.2936,1.1618,0.2498,68.477,137.8405,234.4784,1,1,1	-0.2303,0.9251,0.2732,63.9426,124.4603,232.925,1,1,1	-0.2289,0.7643,0.2896,339.883,84.7617,186.7097,1,1,1
9.4809,11,1	-0.3232,0,0.1062,0,278.2318,0,1,1,1	-0.3232,0,0.1062,0,278.2318,0,1,1,1	-0.3232,0,0.1062,0,278.2318,0,1,1,1	-0.3232,0,0.1062,0,278.2318,0,1,1,1	-0.3258,0.7792,0.1221,359.0097,7.3577,268.9027,1,1,1	-0.3249,0.8242,0.1212,359.0098,7.3579,273.8572,1,1,1	-0.3353,0.778,0.0483,2.7834,186.1524,96.0585,1,1,1	-0.4223,0.4283,0.0377,2.8907,182.6708,104.9884,1,1,1	-0.33,0.1091,0.0184,0.5148,167.559,88.8161,1,1,1	-0.4359,0.0213,-0.0041,0.1586,167.5727,356.7946,1,1,1	-0.3162,0.7805,0.1958,354.1622,189.6574,88.1531,1,1,1	-0.3523,0.4223,0.2003,355.7615,200.9264,103.5073,1,1,1	-0.2545,0.1038,0.1712,359.3677,221.5307,89.9732,1,1,1	-0.3375,0.0183,0.2434,0.3644,221.4809,354.3112,1,1,1	-0.3095,0.9723,0.1166,1.7058,6.9229,282.6272,1,1,1	-0.3151,1.101,0.1212,0.6672,6.7007,282.4985,1,1,1	-0.3206,1.2297,0.1233,0.6672,6.7007,267.4984,1,1,1	-0.3573,1.3221,0.1287,0.0744,12.3854,270.8828,1,1,1	-0.3237,1.23,0.0975,293.6791,331.509,125.9408,1,1,1	-0.3275,1.1662,-0.0119,289.1917,240.9369,233.1616,1,1,1	-0.2816,0.9292,-0.0597,293.991,255.2135,232.6572,1,1,1	-0.2912,0.7688,-0.0774,17.8178,293.6046,184.9452,1,1,1	-0.3176,1.2294,0.1492,68.5366,45.6885,130.0669,1,1,1	-0.2964,1.1605,0.2534,68.978,137.4232,235.0816,1,1,1	-0.2356,0.9234,0.2787,64.7936,123.8769,233.8027,1,1,1	-0.2371,0.7627,0.2956,340.865,83.0095,186.0808,1,1,1
